Movie Name,CSS,Language,Runtime (min.),IMDb_Rating,Animated,Genre,Fantasy,Drama,Music,Adventure,Thriller,Action,Family,Romance,Mystery,Sports,Comedy,Horror,Crime,SciFi,Lead_Actor,Lead_Actress,Director,Budget,BO Collection (Total),Trailer Views,Trailer Likes (K),Music_Rating,No. of Screens,Verdict
thetwilightsagabreakingdawnpart2,0.2,English,115,5.5,Live Action,"Adventure, Drama, Fantasy",0,1,0,1,0,0,0,0,0,0,0,0,0,0,Kristen Stewart,Robert Pattinson,Bill Condon,120,829.75,5786387,10,7,1500,Blockbuster
happyfeettwo,,English,100,5.9,Animated,"Animation, Adventure, Comedy",0,0,0,1,0,0,0,0,0,0,1,0,0,0,Elijah Wood,Pink,George Miller,135,150.4,9875427,6,7.5,3434,Flop
theincrediblehulk,0.05,English,112,6.7,Live Action,"Action, Adventure, Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,1,Edward Norton,Liv Tyler,Louis Leterrier,150,263.43,8485676,8,7,500,Average
thebfg,0.2,English,117,6.4,Animated,"Adventure, Family, Fantasy",0,0,0,1,0,0,1,0,0,0,0,0,0,0,Mark Rylance,Ruby Barnhill,Steven Spielberg,140,195.24,4992708,6,7.5,1000,Flop
turbo,0.35,English,96,6.4,Animated,"Animation, Adventure, Comedy",0,0,0,1,0,0,0,0,0,0,1,0,0,0,Ryan Reynolds,Paul Giamatti,David Soren,135,282.57,4369245,9,7,4000,Average
rango,0,English,107,7.2,Animated,"Animation, Adventure, Comedy",0,0,0,1,0,0,0,0,0,0,1,0,0,0,Johnny Depp,Isla Fisher,Gore Verbinski,135,245.72,3461438,9,7,1000,Hit
penguinsofmadagascar,,English,92,6.7,Animated,"Animation, Adventure, Comedy",0,0,0,1,0,0,0,0,0,0,1,0,0,0,Tom McGrath,PG,Eric Darnell,135,373.51,3322211,7,7,1000,Hit
thebourneultimatum,0.2,English,115,8,Live Action,"Action, Mystery, Thriller",0,0,0,1,1,1,0,0,1,0,0,0,1,0,Matt Damon,Julia Stiles,Paul Greengrass,110,442.82,1763506,8,7,3000,Blockbuster
kungfupanda,,English,92,7.5,Animated,"Animation, Action, Adventure, Comedy, Family, Sport",0,0,0,1,0,1,0,0,0,1,1,0,0,0,Jack Black,Angelina Jolie,Mark Osborne,135,631.74,7584541,10,7,1000,Blockbuster
antman,0.35,English,117,7.3,Live Action,"Action, Adventure, Comedy, Sci-Fi",0,0,0,1,0,0,0,0,0,0,1,0,0,1,Paul Rudd,Evangeline Lilly,Peyton Reed,130,519.31,5839275,7,7,1000,Blockbuster
thehungergamescatchingfire,0.4,English,146,7.5,Live Action,"Action, Adventure, Mystery, Sci-Fi, Thriller",0,0,0,1,1,1,0,0,1,0,0,0,0,1,Jennifer Lawrence,Josh Hutcherson,Francis Lawrence,130,865.01,7794988,12,7,900,Blockbuster
home,,English,94,6.6,Animated,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",0,0,0,1,0,0,1,0,0,0,1,0,0,1,Jim Parsons,Rihanna,Tim Johnson,135,386.04,7227331,9,6,1000,Hit
waroftheworlds,,English,116,6.5,Live Action,"Adventure, Sci-Fi, Thriller",0,0,0,1,1,0,0,0,0,0,0,0,0,1,Tom Cruise,Dakota Fanning,Steven Spielberg,132,704.93,6784766,5,7,1000,Blockbuster
badboysii,,English,147,6.6,Live Action,"Action, Comedy, Crime, Thriller",0,0,0,1,0,1,0,0,0,0,1,0,1,0,Will Smith,Martin Lawrence,Michael Bay,130,273.34,4076101,4,7,1000,Hit
pussinboots,,English,90,6.6,Animated,"Animation, Action, Adventure, Comedy, Family, Fantasy, Western",0,0,0,1,0,0,1,0,0,0,1,0,0,0,Antonio Banderas,Salma Hayek,Chris Miller,130,555.94,5406150,5,6,3000,Hit
salt,0.25,English,100,6.4,Live Action,"Action, Crime, Drama, Mystery, Thriller",0,1,0,0,1,1,0,0,1,0,0,0,1,0,Angelina Jolie,Liev Schreiber,Phillip Noyce,110,293.5,6647274,6,6,3000,Hit
noah,0.45,English,138,5.8,Live Action,"Action, Adventure, Drama, Fantasy",0,1,0,1,0,0,0,0,0,0,0,0,0,0,Russell Crowe,Jennifer Connelly,Darren Aronofsky,125,362.64,5400000,7,7,3000,Hit
theadventuresoftintin,,English,107,7.3,Animated,"Animation, Action, Adventure, Family, Mystery, Comedy",0,1,0,1,0,0,1,0,1,0,1,0,0,0,Jamie Bell,Daniel Craig,Steven Spielberg,135,374.98,6400000,6,7,2500,Hit
harrypotterandtheprisonerofazkaban,0,English,142,7.9,Live Action,"Adventure, Family, Fantasy",0,1,0,1,0,0,1,0,0,0,0,0,0,0,Daniel Radcliffe,Emma Watson,Alfonso Cuarón,130,796.69,1184098,6,7,1500,Blockbuster
australia,,English,165,6.6,Live Action,"Drama, Romance, War",0,1,0,0,0,0,0,1,0,0,0,0,0,0,Hugh Jackman,Nicole Kidman,Baz Luhrmann,130,211.34,13362534,13,6,3000,Hit
afterearth,0.25,English,100,4.8,Live Action,"Action, Adventure, Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,1,Will Smith,Jaden Smith,M. Night Shyamalan,130,243.84,17151880,18,4,1000,Flop
dinosaur,,English,82,6.4,Animated,"Animation, Adventure, Family",0,0,0,1,0,0,1,0,0,0,0,0,0,0,D.B. Sweeney,Julianna Margulies,Eric Leighton,127.5,349.8,1874673,11,7,500,Hit
nightatthemuseumsecretofthetomb,0,English,98,6.2,Live Action,"Adventure, Comedy, Family",0,1,0,1,0,0,1,0,0,0,0,0,0,0,Ben Stiller,Robin Williams,Shawn Levy,127,363.2,42963259,13,7,1000,Hit
megamind,0.4,English,96,7.2,Animated,"Animation, Action, Comedy",0,1,0,1,0,0,0,0,0,0,1,0,0,0,Will Ferrell,Brad Pitt,Tom McGrath,130,321.89,33096293,16,7.5,500,Hit
ripd,0.55,English,96,5.6,Live Action,"Action, Comedy, Fantasy",0,0,0,0,0,1,0,0,0,0,1,0,0,1,Ryan Reynolds,Jeff Bridges,Robert Schwentke,130,78.32,26873816,14,6.5,3000,Flop
piratesofthecaribbeanthecurseoftheblackpearl,,English,143,8,Live Action,"Action, Adventure, Fantasy",0,0,0,1,0,1,0,0,0,0,0,0,0,1,Johnny Depp,Keira Knightley,Gore Verbinski,140,654.26,9484888,31,8.5,3000,Blockbuster
thehungergamesmockingjaypart1,0.2,English,123,6.6,Live Action,"Action, Adventure, Sci-Fi",0,0,0,1,0,1,0,0,0,0,0,0,0,1,Jennifer Lawrence,Josh Hutcherson,Francis Lawrence,125,755.37,26735333,21,7.3,4000,Blockbuster
rio2,,English,101,6.3,Animated,"Animation, Adventure, Comedy",0,0,0,1,0,0,0,0,0,0,1,0,0,0,Jesse Eisenberg,Anne Hathaway,Carlos Saldanha,103,131.54,62943129,999,7.2,5000,Hit
x2xmenunited,0,English,134,7.4,Live Action,"Action, Adventure, Sci-Fi",0,0,0,1,0,1,0,0,0,0,0,0,0,1,Hugh Jackman,Halle Berry,Bryan Singer,110,407.71,23911428,1029,7,5000,Blockbuster
fastfive,0.35,English,130,7.3,Live Action,"Action, Adventure, Crime",0,0,0,1,0,1,0,0,0,0,0,0,1,0,Vin Diesel,Paul Walker,Justin Lin,125,626.14,10444237,1274,6.7,5000,Blockbuster
sherlockholmesagameofshadows,,English,129,7.5,Live Action,"Action, Adventure, Crime",0,0,0,1,0,1,0,0,0,0,0,0,1,0,Robert Downey Jr.,Jude Law,Guy Ritchie,200,545.45,2983337,488,6.7,5000,Hit
clashofthetitans,0.45,English,106,5.8,Live Action,"Action, Adventure, Fantasy",0,0,0,1,0,1,0,0,0,0,0,0,0,1,Sam Worthington,Gemma Arterton,Louis Leterrier,125,493.21,10475210,1118,6.1,5000,Hit
totalrecall,0.25,English,113,7.5,Live Action,"Action, Sci-Fi, Thriller",0,0,0,1,1,1,0,0,0,0,0,0,0,1,Arnold Schwarzenegger,Sharon Stone,Paul Verhoeven,65,261.28,3191738,380,6.6,2000,Flop
the13thwarrior,0.5,English,102,6.6,Live Action,"Action, Adventure, History",0,0,0,1,0,1,0,0,0,0,0,0,0,0,Antonio Banderas,Vladimir Kulich,John McTiernan,160,61.7,2247053,236,7,2000,Flop
thebournelegacy,0.45,English,135,6.6,Live Action,"Action, Adventure, Thriller",0,0,0,1,1,1,0,0,0,0,0,0,0,0,Jeremy Renner,Rachel Weisz,Tony Gilroy,125,276.57,1523000,579,6.8,2000,Hit
batman,0.4,English,126,7.5,Live Action,"Action, Adventure, Crime",0,0,0,1,0,1,0,0,0,0,0,0,1,0,Michael Keaton,Kim Basinger,Tim Burton,48,411.35,4586889,13,8.1,10000,Blockbuster
howthegrinchstolechristmas,0.1,English,104,6.2,Live Action,"Comedy, Family, Fantasy",0,0,0,1,0,0,1,0,0,0,1,0,0,0,Jim Carrey,Taylor Momsen,Ron Howard,123,345.08,6149348,3,6.8,5000,Blockbuster
thedayaftertomorrow,0,English,124,6.4,Live Action,"Action, Adventure, Sci-Fi",0,0,0,1,0,0,0,0,0,0,1,0,0,1,Dennis Quaid,Jake Gyllenhaal,Roland Emmerich,125,544.27,4413008,1,6.5,2000,Blockbuster
missionimpossibleii,,English,123,6.1,Live Action,"Action, Adventure, Thriller",0,0,0,1,1,1,0,0,0,0,0,0,0,0,Tom Cruise,Thandie Newton,John Woo,125,546.39,11036988,1,5.4,2000,Blockbuster
theperfectstorm,0.357142857142857,English,130,6.4,Live Action,"Adventure, Drama, Thriller",0,1,0,1,1,0,0,0,0,0,0,0,0,0,George Clooney,Mark Wahlberg,Wolfgang Petersen,140,325.76,3414506,4,5.6,2000,Blockbuster
ghostrider,0.25,English,114,5.2,Live Action,"Action, Fantasy, Thriller",0,0,0,1,1,0,0,0,0,0,0,0,0,1,Nicolas Cage,Eva Mendes,Mark Steven Johnson,110,228.74,1576768,56,6,2500,Hit
jasonbourne,0.45,English,123,6.6,Live Action,"Action, Thriller",0,0,0,0,1,1,0,0,0,0,0,0,0,1,Matt Damon,Alicia Vikander,Paul Greengrass,120,415.48,26562362,2800,6.5,6000,Hit
charliesangelsfullthrottle,0.230769230769231,English,106,4.9,Live Action,"Action, Adventure, Comedy",0,0,0,1,0,1,0,0,0,0,1,0,0,0,Cameron Diaz,Drew Barrymore,McG,120,259.13,14104012,3459,5,1000,Hit
prometheus,0.375,English,124,7,Live Action,"Adventure, Mystery, Sci-Fi",0,0,0,1,0,0,0,0,1,0,0,0,0,1,Noomi Rapace,Michael Fassbender,Ridley Scott,130,403.4,23308797,137,7,1000,Hit
stuartlittle2,0.3,English,77,5.5,Animated,"Adventure, Comedy, Family",0,0,0,1,0,0,1,0,0,0,1,0,0,0,Michael J. Fox,Melanie Griffith,Rob Minkoff,120,170.1,5235667,37,5,500,Hit
elysium,0.15,English,109,6.6,Live Action,"Action, Drama, Sci-Fi",0,1,0,1,0,1,0,1,0,0,0,0,0,1,Matt Damon,Jodie Foster,Neill Blomkamp,115,286.14,12210085,105,7,2000,Hit
thechroniclesofriddick,0.0666666666666666,English,134,6.7,Live Action,"Action, Adventure, Sci-Fi",0,0,0,1,0,1,0,0,0,0,0,0,0,1,Vin Diesel,Judi Dench,David Twohy,105,115.77,10345971,97,6.9,2000,Flop
robocop,0.2,English,102,7.5,Live Action,"Action, Crime, Sci-Fi",0,0,0,0,0,1,0,0,0,0,0,0,1,1,Peter Weller,Nancy Allen,Paul Verhoeven,13.7,53.42,17135422,72,7.4,1000,Flop
speedracer,0.4,English,135,6,Live Action,"Action, Adventure, Comedy",0,0,0,1,0,1,0,0,0,0,1,0,0,1,Emile Hirsch,Christina Ricci,The Wachowskis,120,93.95,12321667,28,7,2000,Flop
howdoyouknow,0.55,English,116,5.4,Live Action,"Comedy, Drama, Romance",0,1,0,0,0,0,0,1,0,0,1,0,0,0,Reese Witherspoon,Paul Rudd,James L. Brooks,120,49.27,81051,10,6,2000,Flop
knightandday,0.45,English,109,6.3,Live Action,"Action, Adventure, Comedy, Romance",0,0,0,1,0,1,0,1,0,0,1,0,0,0,Tom Cruise,Cameron Diaz,James Mangold,117,261.93,35328,25,6,3000,Average
oblivion,0.3,English,124,7,Live Action,"Action, Adventure, Mystery, Sci-Fi",0,0,0,1,1,1,0,0,1,0,0,0,0,1,Tom Cruise,Olga Kurylenko,Joseph Kosinski,120,286.17,41107424,42,7.5,3000,Hit
starwarsepisodeiiirevengeofthesith,0.45,English,140,7.5,Live Action,"Action, Adventure, Fantasy, Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,1,Ewan McGregor,Natalie Portman,George Lucas,113,850,61695615,137,9,3500,Blockbuster
starwarsepisodeiiattackoftheclones,,English,142,6.5,Live Action,"Action, Adventure, Fantasy, Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,1,Ewan McGregor,Natalie Portman,George Lucas,120,649.4,42563574,106,9,3500,Blockbuster
monstersinc,0.529411764705882,English,92,8,Animated,"Animation, Adventure, Comedy, Family, Fantasy, Sport",0,0,0,1,0,0,1,0,0,1,1,0,0,1,John Goodman,Billy Crystal,Pete Docter,115,577.44,62891540,574,9,3000,Blockbuster
thewolverine,0.3,English,126,6.7,Live Action,"Action, Adventure, Sci-fi, Thriller, War",0,1,0,1,1,1,0,0,0,0,0,0,0,1,Hugh Jackman,Tao Okamoto,James Mangold,120,414.83,20648015,91,8,3000,Hit
starwarsepisodeithephantommenace,0.6,English,136,6.5,Live Action,"Action, Adventure, Fantasy, Sci-Fi",0,0,0,1,0,1,0,0,0,0,0,0,0,1,Liam Neeson,Keira Knightley,George Lucas,115,1027.08,22348297,148,7.5,3000,Blockbuster
thecroods,0,English,98,7.2,Animated,"Animation, Adventure, Comedy, Family, Fantasy, Drama, Romance",0,1,0,1,0,0,1,1,0,0,1,0,0,1,Ryan Reynolds,Emma Stone,Kirk DeMicco,135,587.2,18414055,162,7.4,4000,Blockbuster
asterixattheolympicgames,,French,117,5.2,Live Action,"Adventure, Comedy, Family",0,1,0,1,0,0,1,0,0,0,1,0,0,0,Clovis Cornillac,Gérard Depardieu,Frédéric Forestier,78,135.1,10594275,120,5,1000,Hit
windtalkers,0,English,134,6,Live Action,"Action, Drama, War",0,1,0,1,0,1,0,0,0,0,0,0,0,0,Nicolas Cage,Adam Beach,John Woo,115,40.91,9588206,25,7.2,3000,Flop
thehuntsmanwinterswar,0.25,English,114,6.1,Live Action,"Action, Adventure, Drama",0,1,0,1,0,1,0,0,0,0,0,0,0,0,Chris Hemsworth,Charlize Theron,Cedric Nicolas-Troyan,115,164.62,10054711,30,6.5,3500,Flop
teenagemutantninjaturtles,,English,101,5.8,Live Action,"Action, Adventure, Comedy",0,0,0,1,0,1,0,0,0,0,1,0,0,0,Megan Fox,Alan Ritchson,Jonathan Liebesman,125,493.33,26413488,4000,7,3000,Hit
gravity,0.3,English,91,7.7,Live Action,"Drama, Sci-Fi, Thriller",0,1,0,0,1,0,0,0,0,0,0,0,0,1,Sandra Bullock,George Clooney,Alfonso Cuarón,100,716.39,37193659,3300,7.3,3400,Blockbuster
dantespeak,0.222222222222222,English,108,5.9,Live Action,"Action, Adventure, Thriller",0,1,0,1,1,1,0,0,0,0,0,0,0,0,Pierce Brosnan,Linda Hamilton,Roger Donaldson,116,178.12,4245504,42,7.1,2000,Hit
teenagemutantninjaturtlesoutoftheshadows,0.15,English,112,6,Live Action,"Action, Adventure, Comedy",1,0,0,1,1,1,1,0,0,0,0,0,0,1,Megan Fox,Stephen Amell,Dave Green,108,245.62,8862273,86,5.7,2000,Average
fantasticfour,0.55,English,106,4.3,Live Action,"Action, Adventure, Sci-Fi",1,0,0,1,1,1,0,0,0,0,0,0,0,1,Miles Teller,Kate Mara,Josh Trank,79,167.88,11654543,100,4.3,2000,Flop
nightatthemuseum,,English,108,6.4,Live Action,"Adventure, Comedy, Family",1,0,0,1,0,1,1,0,0,0,1,0,0,1,Ben Stiller,Carla Gugino,Shawn Levy,110,574.5,20477751,22,7.5,4000,Blockbuster
sanandreas,0.4,English,114,6,Live Action,"Action, Adventure, Drama",0,0,0,1,1,1,1,0,0,0,0,0,0,1,Dwayne Johnson,Carla Gugino,Brad Peyton,110,474.9,10594275,120,6,1000,Hit
tomorrowneverdies,0,English,119,6.5,Live Action,"Action, Adventure, Thriller",0,1,0,0,1,1,0,0,0,0,0,0,1,1,Pierce Brosnan,Michelle Yeoh,Roger Spottiswoode,110,333,9588206,25,6.8,3000,Hit
thepatriot,0.4,English,165,7.2,Live Action,"Action, Drama, History",0,1,0,1,1,1,0,1,0,0,0,0,0,0,Mel Gibson,Heath Ledger,Roland Emmerich,110,215.3,10054711,30,7.4,3500,Blockbuster
oceanstwelve,0.4,English,125,6.5,Live Action,"Crime, Thriller",0,1,0,1,1,1,0,1,0,0,1,0,1,0,George Clooney,Brad Pitt,Steven Soderbergh,110,362,26413488,4000,6.7,3000,Blockbuster
mrmrssmith,0.5,English,120,6.5,Live Action,"Action, Comedy, Crime",0,1,0,1,1,1,1,1,0,0,1,0,1,0,Brad Pitt,Angelina Jolie,Doug Liman,110,478.2,37193659,3300,6.8,3400,Blockbuster
thedivergentseriesinsurgent,,English,119,6.2,Live Action,"Action, Adventure, Sci-Fi",1,0,0,1,1,1,1,1,0,0,0,0,0,1,Shailene Woodley,Theo James,Robert Schwentke,110,295,6789684,86,6.2,3400,Flop
theaviator,0.466666666666667,English,170,7.5,Live Action,"Biography, Drama, History",0,1,0,1,0,1,1,1,0,0,1,0,0,0,Leonardo DiCaprio,Cate Blanchett,Martin Scorsese,110,213.7,3794568,45,7.5,1796,Hit
gulliverstravels,,English,85,4.9,Live Action,"Adventure, Comedy, Family",1,1,0,1,0,0,1,0,0,0,1,0,0,0,Jack Black,Amanda Peet,Rob Letterman,112,237.4,3316469,48,5.6,3089,Flop
thegreenhornet,0.4,English,119,5.8,Live Action,"Action, Comedy, Crime",0,0,0,1,0,1,1,0,0,0,1,0,1,0,Seth Rogen,Jay Chou,Michel Gondry,120,227.8,6369900,100,5.8,3584,Average
300riseofanempire,0.35,English,102,6.2,Live Action,"Action, Fantasy, War",0,1,0,1,0,1,0,0,0,0,0,0,1,0,Sullivan Stapleton,Eva Green,Noam Murro,110,337.6,10678714,66,6,3470,Average
thesmurfs,0.15,English,103,5.4,Live Action,"Animation, Adventure, Comedy",0,1,0,1,0,0,1,0,0,0,1,0,0,0,Hank Azaria,Katy Perry,Raja Gosnell,110,563.7,4580220,40,5.4,3000,Flop
homeontherange,0.4,English,76,5.4,Live Action,"Animation, Adventure, Comedy",0,1,0,0,0,0,0,0,0,0,0,0,0,0,Roseanne Barr,Judi Dench,Will Finn,110,103.9,5285483,54,4.5,3000,Flop
allegiant,,English,120,5.7,Live Action,"Action, Adventure, Mystery",1,0,0,1,1,1,1,0,0,0,0,0,0,1,Shailene Woodley,Theo James,Robert Schwentke,110,179.2,6524513,62,5.7,4000,Flop
realsteel,0.4,English,127,7.1,Live Action,"Action, Drama, Family",0,1,0,1,1,1,0,0,0,0,0,0,0,1,Hugh Jackman,Evangeline Lilly,Shawn Levy,110,299.3,7368343,64,7.1,1000,Hit
thesmurfs2,0.2,English,105,5.3,Live Action,"Animation, Adventure, Comedy",0,1,0,1,1,1,1,0,0,0,1,0,0,1,Hank Azaria,Katy Perry,Raja Gosnell,105,347.4,4526722,48,5.4,3000,Flop
speed2cruisecontrol,,English,121,3.9,Live Action,"Action, Adventure, Crime",0,1,0,1,1,1,1,1,0,0,0,0,0,1,Sandra Bullock,Jason Patric,Jan de Bont,160,164.5,4535774,40,3.7,3500,Flop
endersgame,0,English,114,6.6,Live Action,"Action, Adventure, Sci-Fi",0,1,0,1,1,1,1,0,0,0,0,0,1,1,Asa Butterfield,Harrison Ford,Gavin Hood,110,125.5,6747674,57,6.6,3000,Average
livefreeordiehard,0.4,English,128,7.1,Live Action,"Action, Adventure, Thriller",0,1,0,0,0,1,1,0,0,0,0,0,1,1,Bruce Willis,Justin Long,Len Wiseman,110,388,6687059,105,7.1,3400,Hit
thelordoftheringsthefellowshipofthering,0.45,English,178,8.8,Live Action,"Action, Adventure, Drama",1,0,0,1,0,1,0,0,0,0,0,0,1,1,Elijah Wood,Ian McKellen,Peter Jackson,93,888.3,7791280,61,8.8,2000,Blockbuster
aroundtheworldin80days,,English,120,5.9,Live Action,"Action, Adventure, Comedy",0,1,0,1,0,1,0,0,0,0,0,0,0,1,Jackie Chan,Steve Coogan,Frank Coraci,110,72.2,6369900,100,5.9,2000,Flop
ali,0.3,English,157,6.8,Live Action,"Biography, Drama, Sport",0,1,0,0,0,1,0,0,1,0,0,0,0,0,Will Smith,Jamie Foxx,Michael Mann,107,87.8,87773362,2446,6.8,2000,Average
thecatinthehat,,English,82,4,Live Action,"Adventure, Comedy, Family",1,0,0,1,0,0,0,0,0,0,1,0,0,1,Mike Myers,Dakota Fanning,Bo Welch,109,133.4,55474331,30,4,4000,Flop
irobot,0.1,English,115,7.1,Live Action,"Action, Drama, Sci-Fi",1,1,0,1,1,1,1,0,0,0,0,0,0,1,Will Smith,Bridget Moynahan,Alex Proyas,120,347.2,12667977,118,7.1,1000,Blockbuster
kingdomofheaven,0.5,English,144,7.2,Live Action,"Action, Adventure, Drama",1,1,0,1,0,1,0,1,0,0,0,0,1,0,Orlando Bloom,Eva Green,Ridley Scott,130,211.6,21454951,43,7.2,3000,Flop
stuartlittle,,English,84,5.9,Live Action,"Adventure, Comedy, Family",0,1,1,1,0,0,1,1,0,0,1,0,1,0,Michael J. Fox,Jonathan Lipnicki,Rob Minkoff,133,300.1,33328904,3216,5.4,3500,Hit
theprincessandthefrog,0.6,English,97,7.1,Animated,"Animation, Adventure, Comedy",1,0,0,1,1,1,0,1,0,0,0,0,1,1,Anika Noni Rose,Bruno Campos,Ron Clements,105,270.5,140452515,3240,7.1,3000,Hit
theisland,,English,136,6.9,Live Action,"Action, Sci-Fi, Thriller",1,0,0,1,1,1,0,0,0,0,0,0,1,1,Ewan McGregor,Scarlett Johansson,Michael Bay,126,162.9,630161890,3821,6.9,3400,Flop
thetownthatdreadedsundown,0.5,English,86,5.6,Live Action,"Crime, Horror, Mystery",0,0,0,0,1,0,0,0,1,0,0,1,1,1,Addison Timlin,Veronica Cartwright,Alfonso Gomez-Rejon,110,31.5,162949164,3122,5.6,1796,Flop
goneinsixtysecondsatascotraceway,,English,118,6.5,Live Action,"Action, Crime, Thriller",0,0,0,0,0,0,1,0,0,0,0,1,1,1,Nicolas Cage,Angelina Jolie,Dominic Sena,114,237.2,12370855,2790,6.5,3089,Flop
gladiator,0.45,English,155,8.5,Live Action,"Action, Adventure, Drama",1,0,0,1,0,1,0,0,0,0,0,1,1,1,Russell Crowe,Joaquin Phoenix,Ridley Scott,103,457.6,13525000,19,8.6,3584,Blockbuster
minorityreport,,English,145,7.6,Live Action,"Action, Crime, Drama",1,0,0,1,1,1,1,0,1,0,0,0,1,1,Tom Cruise,Colin Farrell,Steven Spielberg,102,358.4,460583960,3106,7.7,3470,Blockbuster
harrypotterandthechamberofsecrets,0,English,161,7.4,Live Action,"Adventure, Family, Fantasy",1,0,1,1,0,0,1,0,0,0,0,0,1,1,Daniel Radcliffe,Rupert Grint,Chris Columbus,100,879.5,358372926,3001,7.6,3000,Blockbuster
casinoroyale,0.45,English,144,8,Live Action,"Action, Adventure, Thriller",0,0,0,1,1,1,0,0,1,0,0,0,1,1,Daniel Craig,Eva Green,Martin Campbell,150,616.5,879484425,3192,8.2,3000,Blockbuster
planetoftheapes,0,English,119,5.7,Live Action,"Action, Adventure, Sci-Fi",0,0,0,1,0,1,0,0,1,0,0,0,1,1,Mark Wahlberg,Helena Bonham Carter,Tim Burton,100,362.2,362211740,3257,5.9,4000,Hit
terminator2judgmentday,,English,137,8.5,Live Action,"Action, Sci-Fi",0,0,0,1,1,1,0,0,1,0,0,0,1,1,Arnold Schwarzenegger,Linda Hamilton,James Cameron,102,520.9,362211740,3257,8.5,1000,Blockbuster
publicenemies,0.15,English,140,7,Live Action,"Biography, Crime, Drama",0,0,0,0,1,1,0,0,0,0,0,0,1,1,Johnny Depp,Christian Bale,Michael Mann,100,214.1,214104620,3520,7,3000,Hit
americangangster,0.25,English,157,7.8,Live Action,"Biography, Crime, Drama",1,0,0,0,1,1,0,0,0,0,0,0,1,1,Denzel Washington,Russell Crowe,Ridley Scott,100,266.5,214104620,3520,7.7,3500,Blockbuster
truelies,0.6,English,141,7.2,Live Action,"Action, Comedy, Thriller",0,0,0,0,1,1,0,0,0,0,1,0,1,1,Arnold Schwarzenegger,Jamie Lee Curtis,James Cameron,100,378.9,266272577,3334,7.3,3000,Hit
littlefockers,0.45,English,98,5.5,Live Action,"Comedy, Romance",0,0,0,0,1,1,0,0,0,0,1,0,1,1,Robert De Niro,Ben Stiller,Paul Weitz,100,310.7,310650585,3536,5.4,3400,Average
theotherguys,0.3,English,107,6.6,Live Action,"Action, Comedy, Crime",0,0,0,0,1,0,0,0,0,0,1,0,1,1,Will Ferrell,Mark Wahlberg,Adam McKay,100,170.4,170432927,3651,6.6,2000,Average
eraser,0.625,English,115,6.1,Live Action,"Action, Drama, Thriller",0,0,0,0,1,1,0,0,0,0,0,0,1,1,Arnold Schwarzenegger,Vanessa Williams,Chuck Russell,100,242.3,242295562,3436,5.8,2000,Flop
thehunchbackofnotredame,,English,91,6.9,Animated,"Animation, Drama, Family",0,1,1,1,0,0,1,0,0,0,0,0,0,0,Tom Hulce,Demi Moore,Gary Trousdale,100,325.3,325104026,3126,6.9,4000,Superhit
theemperorsnewgroove,,English,78,7.3,Animated,"Animation, Adventure, Comedy",1,0,0,1,0,1,1,1,0,0,0,0,0,0,David Spade,John Goodman,Mark Dindal,100,169.9,169327687,3136,7.2,1000,Superhit
theexpendables2,0.35,English,103,6.6,Live Action,"Action, Adventure, Thriller",0,0,0,1,0,0,1,0,0,0,0,0,0,0,Sylvester Stallone,Jason Statham,Simon West,100,314.9,312573423,3334,6.6,3000,Flop
nationaltreasure,0.444444444444444,English,131,6.9,Live Action,"Action, Adventure, Mystery, Thriller",0,0,0,1,0,0,1,0,1,0,0,0,0,0,Nicolas Cage,Diane Kruger,Jon Turteltaub,100,347.5,349216835,3243,6.8,3500,Blockbuster
eragon,0.4,English,104,5.1,Live Action,"Action, Adventure, Family",1,0,0,1,1,0,0,0,0,0,0,0,0,0,Ed Speleers,Sienna Guillory,Stefen Fangmeier,100,249.5,249288105,3376,5,3000,Flop
wherethewildthingsare,0.45,English,101,6.7,Live Action,"Adventure, Drama, Family",1,1,0,0,1,0,0,1,0,0,0,0,0,0,Max Records,Catherine Keener,Spike Jonze,100,100.1,100086678,3645,6.6,3400,Average
epic,0.55,English,102,6.6,Animated,"Animation, Adventure, Family",1,0,0,1,0,0,1,0,0,0,0,0,0,0,Amanda Seyfried,Josh Hutcherson,Chris Wedge,100,268.4,268426634,3202,6.5,3400,Average
thetourist,0,English,103,6,Live Action,"Action, Adventure, Crime",0,1,0,1,0,1,0,1,0,0,0,0,0,0,Johnny Depp,Angelina Jolie,Florian Henckel von Donnersmarck,100,278.3,278346189,3224,6,1796,Flop
endofdays,0.333333333333333,English,122,5.8,Live Action,"Action, Fantasy, Horror",0,0,0,0,1,1,0,1,0,0,0,0,0,0,Arnold Schwarzenegger,Gabriel Byrne,Peter Hyams,100,212,211989043,3246,5.8,3089,Average
blooddiamond,0.125,English,143,8,Live Action,"Action, Adventure, Drama",0,1,0,0,1,0,1,0,0,1,0,0,0,0,Leonardo DiCaprio,Djimon Hounsou,Edward Zwick,100,171.4,171875124,3065,8.1,3584,Hit
