Movie Name,CSS,Language,Runtime (min.),IMDb_Rating,Animated,Genre,Fantasy,Drama,Music,Adventure,Thriller,Action,Family,Romance,Mystery,Sports,Comedy,Horror,Crime,SciFi,Lead_Actor,Lead_Actress,Director,Budget,BO Collection (Total),Trailer Views,Trailer Likes (K),Music_Rating,No. of Screens,Verdict
shrekforeverafter,,English,93,6.3,Animated,"Animation, Adventure, Comedy",0,0,0,1,0,0,0,0,0,0,1,0,0,0,Mike Myers,Cameron Diaz,Mike Mitchell,135,752.6,62590430,4321,6.4,1000,Blockbuster
tomorrowland,0.4,English,130,6.4,Live Action,"Action, Adventure, Family",0,0,0,1,0,1,1,0,0,0,0,0,0,0,George Clooney,Britt Robertson,Brad Bird,190,209.18,39446871,3987,7,900,Hit
bighero6,,English,102,7.8,Animated,"Animation, Action, Adventure",0,0,0,1,0,1,0,0,0,0,0,0,0,0,Scott Adsit,Ryan Potter,Don Hall,165,657.82,85947661,3810,7.2,1000,Blockbuster
wreckitralph,,English,101,7.7,Animated,"Animation, Adventure, Comedy",0,0,0,1,0,0,0,0,0,0,1,0,0,0,John C. Reilly,Sarah Silverman,Rich Moore,165,471.22,45024298,3765,7.7,1000,Blockbuster
thepolarexpress,,English,100,6.6,Animated,"Animation, Adventure, Family",0,0,0,1,0,0,1,0,0,0,0,0,0,0,Tom Hanks,Leslie Zemeckis,Robert Zemeckis,165,311.4,24028933,3295,6.7,1000,Blockbuster
independencedayresurgence,0.45,English,120,5.2,Live Action,"Action, Adventure, Sci-fi",0,0,0,1,0,1,0,0,0,0,0,0,0,1,Liam Hemsworth,Jeff Goldblum,Roland Emmerich,165,389.68,40208740,4117,6,3000,Blockbuster
howtotrainyourdragon,,English,98,8.1,Animated,"Animation, Action, Adventure",0,0,0,1,0,1,0,0,0,0,0,0,0,0,Jay Baruchel,Gerard Butler,Dean DeBlois,165,494.88,28882790,4144,8.1,3000,Blockbuster
terminator3riseofthemachines,,English,109,6.3,Live Action,"Action, Sci-fi, Thriller",0,0,0,0,1,1,0,0,0,0,0,0,0,1,Arnold Schwarzenegger,Claire Danes,Jonathan Mostow,200,433.37,32855284,3624,7,3000,Hit
inception,0.333333333333333,English,148,8.8,Live Action,"Action, Adventure, Sci-fi",0,0,0,1,0,1,0,0,0,0,0,0,0,1,Leonardo DiCaprio,Ellen Page,Christopher Nolan,160,829.9,19896705,3793,8.7,3000,Blockbuster
shingodzilla,0.45,Other Regional,120,6.6,Live Action,"Action, Adventure, Drama",0,1,0,1,0,1,0,0,0,0,0,0,0,0,Hiroki Hasegawa,Yutaka Takenouchi,Hideaki Anno,15,77.9,3020288,334,7.1,1000,Hit
thehobbitanunexpectedjourney,0.25,English,169,7.8,Live Action,"Adventure, Fantasy",1,0,0,1,0,0,0,0,0,0,0,0,0,0,Martin Freeman,Ian McKellen,Peter Jackson,180,1021.1,42299213,4724,7.2,500,Blockbuster
thefastandthefurious,0.55,English,106,6.8,Live Action,"Action, Crime, Thriller",0,0,0,0,1,1,0,0,0,0,0,0,1,0,Vin Diesel,Paul Walker,Rob Cohen,38,207.3,12096242,2690,6.7,1000,Blockbuster
thecuriouscaseofbenjaminbutton,0.125,English,166,7.8,Live Action,"Drama, Fantasy, Romance",1,1,0,0,0,0,0,1,0,0,0,0,0,0,Brad Pitt,Cate Blanchett,David Fincher,150,333.93,15103195,2950,7.7,500,Blockbuster
xmenfirstclass,,English,132,7.7,Live Action,"Action, Adventure, Sci-fi",0,0,0,1,0,1,0,0,0,0,0,0,0,1,James McAvoy,Michael Fassbender,Matthew Vaughn,160,353.62,16171871,3743,7.8,1500,Blockbuster
thehungergamesmockingjaypart2,0.35,English,137,6.5,Live Action,"Action, Adventure, Sci-fi",0,0,0,1,0,1,0,0,0,0,0,0,0,1,Jennifer Lawrence,Josh Hutcherson,Francis Lawrence,160,653.43,59014577,4175,6.6,3000,Blockbuster
thesorcerersapprentice,0.25,English,109,6.1,Live Action,"Action, Adventure, Family",0,0,0,1,0,1,1,0,0,0,0,0,0,0,Nicolas Cage,Jay Baruchel,Jon Turteltaub,150,215.3,24961132,3735,6,3000,Hit
poseidon,0.4,English,98,5.6,Live Action,"Action, Adventure, Drama",0,1,0,1,0,1,0,0,0,0,0,0,0,0,Josh Lucas,Kurt Russell,Wolfgang Petersen,160,181.67,17431964,3454,6,3000,Blockbuster
