Movie Name,CSS,Language,Runtime (min.),IMDb_Rating,Animated,Genre,Fantasy,Drama,Music,Adventure,Thriller,Action,Family,Romance,Mystery,Sports,Comedy,Horror,Crime,SciFi,Lead_Actor,Lead_Actress,Director,Budget,BO Collection (Total),Trailer Views,Trailer Likes (K),Music_Rating,No. of Screens,Verdict
300riseofanempire,0.35,English,102,6.2,Live Action,"Action, Fantasy, War",0,1,0,1,0,1,0,0,0,0,0,0,1,0,Sullivan Stapleton,Eva Green,Noam Murro,110.0,337.6,"10,678,714",66,6.0,">3,470",Average
thesmurfs,0.15,English,103,5.4,Live Action,"Animation, Adventure, Comedy",0,1,0,1,0,0,1,0,0,0,1,0,0,0,Hank Azaria,Katy Perry,Raja Gosnell,110.0,563.7,"4,580,220",40,5.4,>3000,Flop
homeontherange,0.4,English,76,5.4,Live Action,"Animation, Adventure, Comedy",0,1,0,0,0,0,0,0,0,0,0,0,0,0,Roseanne Barr,Judi Dench,"Will Finn, John Sanford",110.0,103.9,"5,285,483",54,4.5,>3000,Flop
allegiant,,English,120,5.7,Live Action,"Action, Adventure, Mystery",1,0,0,1,1,1,1,0,0,0,0,0,0,1,Shailene Woodley,Theo James,Robert Schwentke,110.0,179.2,"6,524,513",62,5.7,>4000,Flop
realsteel,0.4,English,127,7.1,Live Action,"Action, Drama, Family",0,1,0,1,1,1,0,0,0,0,0,0,0,1,Hugh Jackman,Evangeline Lilly,Shawn Levy,110.0,299.3,"7,368,343",64,7.1,>1000,Hit
thesmurfs2,0.2,English,105,5.3,Live Action,"Animation, Adventure, Comedy",0,1,0,1,1,1,1,0,0,0,1,0,0,1,Hank Azaria,Katy Perry,Raja Gosnell,105.0,347.4,"4,526,722",48,5.4,>3000,Flop
speed2cruisecontrol,,English,121,3.9,Live Action,"Action, Adventure, Crime",0,1,0,1,1,1,1,1,0,0,0,0,0,1,Sandra Bullock,Jason Patric,Jan de Bont,160.0,164.5,"4,535,774",40,3.7,>3500,Flop
endersgame,0.0,English,114,6.6,Live Action,"Action, Adventure, Sci-Fi",0,1,0,1,1,1,1,0,0,0,0,0,1,1,Asa Butterfield,Harrison Ford,Gavin Hood,110.0,125.5,"6,747,674",57,6.6,>3000,Average
livefreeordiehard,0.4,English,128,7.1,Live Action,"Action, Adventure, Thriller",0,1,0,0,0,1,1,0,0,0,0,0,1,1,Bruce Willis,Justin Long,Len Wiseman,110.0,388.0,"6,687,059",105,7.1,>3400,Hit
thelordoftheringsthefellowshipofthering,0.45,English,178,8.8,Live Action,"Action, Adventure, Drama",1,0,0,1,0,1,0,0,0,0,0,0,1,1,Elijah Wood,Ian McKellen,Peter Jackson,93.0,888.3,"7,791,280",61,8.8,>2000,Blockbuster
aroundtheworldin80days,,English,120,5.9,Live Action,"Action, Adventure, Comedy",0,1,0,1,0,1,0,0,0,0,0,0,0,1,Jackie Chan,Steve Coogan,Frank Coraci,110.0,72.2,"6,369,900",100,5.9,>2000,Flop
ali,0.3,English,157,6.8,Live Action,"Biography, Drama, Sport",0,1,0,0,0,1,0,0,1,0,0,0,0,0,Will Smith,Jamie Foxx,Michael Mann,107.0,87.8,"87,773,362","2,446",6.8,>2000,Average
thecatinthehat,,English,82,4.0,Live Action,"Adventure, Comedy, Family",1,0,0,1,0,0,0,0,0,0,1,0,0,1,Mike Myers,Dakota Fanning,Bo Welch,109.0,133.4,"55,474,331",30,4.0,>4000,Flop
irobot,0.1,English,115,7.1,Live Action,"Action, Drama, Sci-Fi",1,1,0,1,1,1,1,0,0,0,0,0,0,1,Will Smith,Bridget Moynahan,Alex Proyas,120.0,347.2,"12,667,977",118,7.1,>1000,Blockbuster
kingdomofheaven,0.5,English,144,7.2,Live Action,"Action, Adventure, Drama",1,1,0,1,0,1,0,1,0,0,0,0,1,0,Orlando Bloom,Eva Green,Ridley Scott,130.0,211.6,"21,454,951",43,7.2,>3000,Flop
stuartlittle,,English,84,5.9,Live Action,"Adventure, Comedy, Family",0,1,1,1,0,0,1,1,0,0,1,0,1,0,Michael J. Fox,Jonathan Lipnicki,Rob Minkoff,133.0,300.1,"33,328,904","3,216",5.4,>3500,Hit
theprincessandthefrog,0.6,English,97,7.1,Animated,"Animation, Adventure, Comedy",1,0,0,1,1,1,0,1,0,0,0,0,1,1,Anika Noni Rose,Bruno Campos,"Ron Clements, John Musker",105.0,270.5,"140,452,515","3,240",7.1,>3000,Hit
theisland,,English,136,6.9,Live Action,"Action, Sci-Fi, Thriller",1,0,0,1,1,1,0,0,0,0,0,0,1,1,Ewan McGregor,Scarlett Johansson,Michael Bay,126.0,162.9,"630,161,890","3,821",6.9,">3,400",Flop
thetownthatdreadedsundown,0.5,English,86,5.6,Live Action,"Crime, Horror, Mystery",0,0,0,0,1,0,0,0,1,0,0,1,1,1,Addison Timlin,Veronica Cartwright,Alfonso Gomez-Rejon,110.0,31.5,"162,949,164","3,122",5.6,">1,796",Flop
goneinsixtysecondsatascotraceway,,English,118,6.5,Live Action,"Action, Crime, Thriller",0,0,0,0,0,0,1,0,0,0,0,1,1,1,Nicolas Cage,Angelina Jolie,Dominic Sena,114.0,237.2,"12,370,855","2,790",6.5,">3,089",Flop
gladiator,0.45,English,155,8.5,Live Action,"Action, Adventure, Drama",1,0,0,1,0,1,0,0,0,0,0,1,1,1,Russell Crowe,Joaquin Phoenix,Ridley Scott,103.0,457.6,"13,525,000",19,8.6,">3,584",Blockbuster
minorityreport,,English,145,7.6,Live Action,"Action, Crime, Drama",1,0,0,1,1,1,1,0,1,0,0,0,1,1,Tom Cruise,Colin Farrell,Steven Spielberg,102.0,358.4,"460,583,960","3,106",7.7,">3,470",Blockbuster
harrypotterandthechamberofsecrets,0.0,English,161,7.4,Live Action,"Adventure, Family, Fantasy",1,0,1,1,0,0,1,0,0,0,0,0,1,1,Daniel Radcliffe,Rupert Grint,Chris Columbus,100.0,879.5,"358,372,926","3,001",7.6,>3000,Blockbuster
casinoroyale,0.45,English,144,8.0,Live Action,"Action, Adventure, Thriller",0,0,0,1,1,1,0,0,1,0,0,0,1,1,Daniel Craig,Eva Green,Martin Campbell,150.0,616.5,"879,484,425","3,192",8.2,>3000,Blockbuster
planetoftheapes,0.0,English,119,5.7,Live Action,"Action, Adventure, Sci-Fi",0,0,0,1,0,1,0,0,1,0,0,0,1,1,Mark Wahlberg,Helena Bonham Carter,Tim Burton,100.0,362.2,"362,211,740","3,257",5.9,>4000,Hit
terminator2judgmentday,,English,137,8.5,Live Action,"Action, Sci-Fi",0,0,0,1,1,1,0,0,1,0,0,0,1,1,Arnold Schwarzenegger,Linda Hamilton,James Cameron,102.0,520.9,"362,211,740","3,257",8.5,>1000,Blockbuster
publicenemies,0.15,English,140,7.0,Live Action,"Biography, Crime, Drama",0,0,0,0,1,1,0,0,0,0,0,0,1,1,Johnny Depp,Christian Bale,Michael Mann,100.0,214.1,"214,104,620","3,520",7.0,>3000,Hit
americangangster,0.25,English,157,7.8,Live Action,"Biography, Crime, Drama",1,0,0,0,1,1,0,0,0,0,0,0,1,1,Denzel Washington,Russell Crowe,Ridley Scott,100.0,266.5,"214,104,620","3,520",7.7,>3500,Blockbuster
truelies,0.6,English,141,7.2,Live Action,"Action, Comedy, Thriller",0,0,0,0,1,1,0,0,0,0,1,0,1,1,Arnold Schwarzenegger,Jamie Lee Curtis,James Cameron,100.0,378.9,"266,272,577","3,334",7.3,>3000,Hit
littlefockers,0.45,English,98,5.5,Live Action,"Comedy, Romance",0,0,0,0,1,1,0,0,0,0,1,0,1,1,Robert De Niro,Ben Stiller,Paul Weitz,100.0,310.7,"310,650,585","3,536",5.4,>3400,Average
theotherguys,0.3,English,107,6.6,Live Action,"Action, Comedy, Crime",0,0,0,0,1,0,0,0,0,0,1,0,1,1,Will Ferrell,Mark Wahlberg,Adam McKay,100.0,170.4,"170,432,927","3,651",6.6,>2000,Average
eraser,0.625,English,115,6.1,Live Action,"Action, Drama, Thriller",0,0,0,0,1,1,0,0,0,0,0,0,1,1,Arnold Schwarzenegger,Vanessa Williams,Chuck Russell,100.0,242.3,"242,295,562","3,436",5.8,>2000,Flop
thehunchbackofnotredame,,English,91,6.9,Animated,"Animation, Drama, Family",0,1,1,1,0,0,1,0,0,0,0,0,0,0,Tom Hulce,Demi Moore,"Gary Trousdale, Kirk Wise",100.0,325.3,"325,104,026","3,126",6.9,>4000,Superhit
theemperorsnewgroove,,English,78,7.3,Animated,"Animation, Adventure, Comedy",1,0,0,1,0,1,1,1,0,0,0,0,0,0,David Spade,John Goodman,Mark Dindal,100.0,169.9,"169,327,687","3,136",7.2,>1000,Superhit
theexpendables2,0.35,English,103,6.6,Live Action,"Action, Adventure, Thriller",0,0,0,1,0,0,1,0,0,0,0,0,0,0,Sylvester Stallone,Jason Statham,Simon West,100.0,314.9,"312,573,423","3,334",6.6,>3000,Flop
nationaltreasure,0.4444444444444444,English,131,6.9,Live Action,"Action, Adventure, Mystery, Thriller",0,0,0,1,0,0,1,0,1,0,0,0,0,0,Nicolas Cage,Diane Kruger,Jon Turteltaub,100.0,347.5,"349,216,835","3,243",6.8,>3500,Blockbuster
eragon,0.4,English,104,5.1,Live Action,"Action, Adventure, Family",1,0,0,1,1,0,0,0,0,0,0,0,0,0,Ed Speleers,Sienna Guillory,Stefen Fangmeier,100.0,249.5,"249,288,105","3,376",5.0,>3000,Flop
wherethewildthingsare,0.45,English,101,6.7,Live Action,"Adventure, Drama, Family",1,1,0,0,1,0,0,1,0,0,0,0,0,0,Max Records,Catherine Keener,Spike Jonze,100.0,100.1,"100,086,678","3,645",6.6,>3400,Average
epic,0.55,English,102,6.6,Animated,"Animation, Adventure, Family",1,0,0,1,0,0,1,0,0,0,0,0,0,0,Amanda Seyfried,Josh Hutcherson,Chris Wedge,100.0,268.4,"268,426,634","3,202",6.5,">3,400",Average
thetourist,0.0,English,103,6.0,Live Action,"Action, Adventure, Crime",0,1,0,1,0,1,0,1,0,0,0,0,0,0,Johnny Depp,Angelina Jolie,Florian Henckel von Donnersmarck,100.0,278.3,"278,346,189","3,224",6.0,">1,796",Flop
endofdays,0.3333333333333333,English,122,5.8,Live Action,"Action, Fantasy, Horror",0,0,0,0,1,1,0,1,0,0,0,0,0,0,Arnold Schwarzenegger,Gabriel Byrne,Peter Hyams,100.0,212.0,"211,989,043","3,246",5.8,">3,089",Average
blooddiamond,0.125,English,143,8.0,Live Action,"Action, Adventure, Drama",0,1,0,0,1,0,1,0,0,1,0,0,0,0,Leonardo DiCaprio,Djimon Hounsou,Edward Zwick,100.0,171.4,"171,875,124","3,065",8.1,">3,584",Hit
batmanforever,0.15,English,121,5.4,Live Action,"Action, Adventure, Fantasy",0,0,0,0,0,0,0,0,1,0,0,0,0,0,Val Kilmer,Tommy Lee Jones,Joel Schumacher,100.0,336.5,"336,529,144","4,028",5.4,>3000,Blockbuster
starshiptroopers,0.2,English,129,7.2,Live Action,"Action, Adventure, Sci-Fi",1,0,0,1,0,1,0,0,0,0,0,0,0,1,Casper Van Dien,Dina Meyer,Paul Verhoeven,100.0,121.2,"121,214,377","3,002",7.2,>3000,Hit
cloudatlas,0.7,English,172,7.4,Live Action,"Action, Drama, Mystery",1,1,0,1,0,0,0,0,0,0,0,0,0,0,Tom Hanks,Halle Berry,"Tom Tykwer, Andy Wachowski, Lana Wachowski",100.0,130.5,"130,482,868","3,243",7.5,>4000,Flop
legendoftheguardianstheowlsofgahoole,,English,97,6.9,Animated,"Animation, Action, Adventure",1,0,0,1,1,0,0,1,0,0,0,0,0,0,Jim Sturgess,Hugo Weaving,Zack Snyder,100.0,140.1,"140,073,390","3,641",7.0,>1000,Flop
catwoman,0.0,English,104,3.3,Live Action,"Action, Crime, Fantasy",0,1,0,0,0,1,0,1,0,0,0,1,0,0,Halle Berry,Benjamin Bratt,Pitof,100.0,82.1,"82,102,379","3,117",3.3,>3000,Flop
hercules,,English,93,7.3,Animated,"Animation, Adventure, Comedy",1,0,0,1,0,0,1,0,0,0,0,0,0,0,Tate Donovan,Danny DeVito,"Ron Clements, John Musker",100.0,252.7,"244,909,976","3,602",7.3,>3500,Hit
treasureplanet,0.0666666666666666,English,95,7.1,Animated,"Animation, Adventure, Family",1,1,0,1,1,0,0,0,0,0,0,0,0,0,Joseph Gordon-Levitt,Emma Thompson,"Ron Clements, John Musker",140.0,109.6,"109,578,115","3,038",7.1,>3000,Flop
landofthelost,0.4,English,102,5.3,Live Action,"Adventure, Comedy, Sci-Fi",0,0,0,1,0,0,0,0,1,0,0,0,0,0,Will Ferrell,Anna Friel,Brad Silberling,100.0,68.8,"68,733,155","3,521",5.4,>3400,Flop
theexpendables3,0.5,English,126,6.0,Live Action,"Action, Adventure, Thriller",0,0,0,0,0,1,1,0,0,0,0,0,0,0,Sylvester Stallone,Jason Statham,Patrick Hughes,90.0,214.6,"206,172,544","4,035",6.0,>2000,Flop
pointbreak,0.5,English,122,7.2,Live Action,"Action, Crime, Thriller",0,1,0,0,0,1,0,0,0,0,0,0,0,0,Keanu Reeves,Patrick Swayze,Kathryn Bigelow,105.0,83.5,"133,726,889","3,255",7.2,>2000,Average
sonofthemask,0.35,English,94,2.2,Live Action,"Comedy, Family, Fantasy",0,0,0,0,0,1,0,0,0,0,0,0,0,0,Jamie Kennedy,Alan Cumming,Lawrence Guterman,84.0,59.9,"59,918,422","3,689",2.2,>2000,Flop
intheheartofthesea,0.3333333333333333,English,122,6.9,Live Action,"Action, Adventure, Biography",0,1,0,1,1,0,1,0,0,0,0,0,0,0,"Cillian Murphy, Chris Hemsworth",Benjamin Walker,Ron Howard,100.0,93.9,"93,920,758","3,103",7.0,>4000,Flop
theadventuresofplutonash,0.35,English,95,3.8,Live Action,"Action, Comedy, Sci-Fi",0,0,0,1,0,0,0,1,0,0,0,1,0,0,Eddie Murphy,Randy Quaid,Ron Underwood,100.0,7.1,"7,103,973","3,221",3.8,>1000,Flop
greenzone,0.5,English,115,6.8,Live Action,"Action, Drama, Thriller",0,0,0,0,1,1,1,0,0,0,0,0,0,0,Matt Damon,Gregor Fisher,Paul Greengrass,100.0,94.9,"94,201,586","3,653",6.7,>3000,Average
thepeanutsmovie,,English,88,7.1,Animated,"Animation, Adventure, Comedy",0,0,0,0,1,0,0,1,1,0,0,0,0,0,Noah Schnapp,Bill Melendez,Steve Martino,99.0,246.2,"12,795,219","3,478",7.1,>3500,Hit
thespanishprisoner,0.7,English,110,7.7,Live Action,"Drama, Mystery, Thriller",0,0,1,0,1,0,0,0,0,1,0,0,0,0,Campbell Scott,Steve Martin,David Mamet,45.0,12.0,"433,013,274","3,449",7.6,>3000,Average
themummyreturns,0.25,English,130,6.3,Live Action,"Action, Adventure, Fantasy",0,1,0,0,1,0,1,0,0,0,0,1,0,0,Brendan Fraser,Rachel Weisz,Stephen Sommers,98.0,433.0,"193,772,504","3,641",6.3,>3400,Blockbuster
gangsofnewyork,0.3,English,167,7.5,Live Action,"Crime, Drama",0,1,0,1,0,1,1,0,0,0,0,0,0,0,Leonardo DiCaprio,Daniel Day-Lewis,Martin Scorsese,100.0,193.8,"98,117,707","3,900",7.3,">3,400",Hit
theflowersofwar,0.5,Other Regional,146,7.5,Live Action,"Drama, History, Romance",0,0,0,1,0,0,0,0,1,0,0,0,0,0,Christian Bale,Ni Ni,Yimou Zhang,100.0,95.1,"95,266,903","3,149",7.4,">1,796",Flop
surfsup,,English,85,6.6,Animated,"Animation, Comedy, Family",0,0,0,0,1,0,0,1,0,1,0,0,0,0,Shia LaBeouf,Jeff Bridges,"Ash Brannon, Chris Buck",85.0,149.0,"149,044,513","3,532",6.6,">3,089",Average
thestepfordwives,0.5,English,93,5.2,Live Action,"Comedy, Horror, Sci-Fi",0,0,0,0,0,0,0,0,0,0,1,0,0,0,Nicole Kidman,Matthew Broderick,Frank Oz,90.0,102.0,4765017.00,60,5.3,">3,584",Flop
